imdb,metascore,movie,votes,year
8.1,77,Logan,467975,(2017)
7.5,76,Wonder Woman,396872,(2017)
8.0,94,Dunkirk,375478,(2017)
7.7,67,Guardians of the Galaxy Vol. 2,358753,(2017)
7.4,85,Star Wars: The Last Jedi,355672,(2017)
7.5,73,Spider-Man: Homecoming,300501,(2017)
7.9,74,Thor: Ragnarok,290959,(2017)
7.7,84,Get Out,290375,(I) (2017)
7.7,86,Baby Driver,286927,(2017)
8.1,81,Blade Runner 2049,276935,(2017)
7.5,69,It,262903,(I) (2017)
6.7,45,Justice League,232307,(2017)
7.5,75,John Wick: Chapter 2,222593,(2017)
8.2,88,"Three Billboards Outside Ebbing, Missouri",208137,(2017)
7.3,65,Beauty and the Beast,203698,(2017)
6.7,62,Kong: Skull Island,200571,(2017)
6.5,65,Alien: Covenant,193329,(2017)
6.6,39,Pirates of the Caribbean: Dead Men Tell No Tales,189709,(2017)
7.5,87,The Shape of Water,187169,(2017)
6.8,44,Kingsman: The Golden Circle,171147,(2017)
7.5,82,War for the Planet of the Apes,163933,(2017)
6.7,56,The Fate of the Furious,157694,(2017)
6.6,54,Life,153742,(I) (2017)
8.5,81,Coco,150570,(I) (2017)
6.4,52,Ghost in the Shell,149119,(2017)
6.8,41,King Arthur: Legend of the Sword,144318,(2017)
7.0,58,Jumanji: Welcome to the Jungle,133146,(2017)
5.5,34,The Mummy,128702,(2017)
6.6,52,Murder on the Orient Express,124122,(2017)
6.9,47,The Hitman's Bodyguard,123154,(2017)
6.4,29,Bright,121468,(I) (2017)
7.8,73,Wind River,115518,(2017)
6.7,63,Atomic Blonde,114966,(2017)
6.7,75,Mother!,111630,(2017)
6.5,51,Valerian and the City of a Thousand Planets,110210,(2017)
7.6,94,Lady Bird,107722,(2017)
5.6,37,Baywatch,98615,(2017)
7.8,48,The Greatest Showman,97873,(2017)
7.3,75,The LEGO Batman Movie,97348,(2017)
8.0,93,Call Me by Your Name,95140,(2017)
5.2,27,Transformers: The Last Knight,94967,(2017)
7.2,65,American Made,92812,(2017)
7.4,75,Darkest Hour,86312,(2017)
5.7,34,The Dark Tower,85385,(2017)
7.6,86,The Big Sick,81086,(2017)
6.0,44,Power Rangers,79846,(2017)
7.3,67,T2 Trainspotting,79465,(2017)
7.1,78,Logan Lucky,76295,(2017)
7.6,77,"I, Tonya",76046,(2017)
6.3,50,The Boss Baby,76026,(2017)
4.6,33,Fifty Shades Darker,69847,(2017)
6.3,49,Despicable Me 3,69563,(2017)
7.6,76,The Disaster Artist,69497,(2017)
5.2,42,xXx: Return of Xander Cage,68379,(2017)
6.6,62,Annabelle: Creation,67207,(2017)
8.0,66,Wonder,66392,(I) (2017)
7.6,60,Gifted,63759,(2017)
5.3,43,The Circle,59173,(I) (2017)
6.9,47,What Happened to Monday,59025,(2017)
7.1,55,The Foreigner,58716,(2017)
7.4,75,Okja,57830,(2017)
4.6,43,Death Note,56583,(2017)
7.2,83,The Post,56444,(2017)
5.4,21,Geostorm,54741,(2017)
6.6,50,Going in Style,54365,(2017)
7.1,73,The Killing of a Sacred Deer,53493,(2017)
6.2,78,It Comes at Night,52652,(2017)
6.5,57,Happy Death Day,51651,(2017)
